# refractive index for amorphpus carbon ACH2
# from Zubko et al., mnras, 1996, 282, 1321-1329
    w(um)        n           k
 4.0125E-02  9.3900E-01  6.9000E-02
 4.1536E-02  9.2500E-01  8.6000E-02
 4.5316E-02  9.1400E-01  1.2300E-01
 4.9436E-02  9.1400E-01  1.5700E-01
 5.3907E-02  9.1700E-01  1.8900E-01
 5.8816E-02  9.2200E-01  2.2100E-01
 6.4141E-02  9.3100E-01  2.5600E-01
 6.9969E-02  9.4400E-01  2.9300E-01
 7.6345E-02  9.6100E-01  3.2900E-01
 8.3267E-02  9.8200E-01  3.7000E-01
 9.0832E-02  1.0150E+00  4.1500E-01
 9.9109E-02  1.0610E+00  4.5400E-01
 1.0810E-01  1.1160E+00  4.8400E-01
 1.1786E-01  1.1770E+00  4.9800E-01
 1.2862E-01  1.2310E+00  4.9500E-01
 1.4030E-01  1.2790E+00  4.9400E-01
 1.5305E-01  1.3210E+00  4.7800E-01
 1.6694E-01  1.3460E+00  4.6500E-01
 1.8212E-01  1.3660E+00  4.6300E-01
 1.9866E-01  1.3810E+00  4.7800E-01
 2.1668E-01  1.4220E+00  4.9400E-01
 2.3639E-01  1.4690E+00  5.0400E-01
 2.5787E-01  1.5150E+00  5.0400E-01
 2.8127E-01  1.5680E+00  5.0100E-01
 3.0682E-01  1.6190E+00  4.8500E-01
 3.3464E-01  1.6650E+00  4.6200E-01
 3.6509E-01  1.7060E+00  4.3300E-01
 3.9828E-01  1.7390E+00  4.0000E-01
 4.3443E-01  1.7650E+00  3.6500E-01
 4.7395E-01  1.7840E+00  3.3000E-01
 5.1704E-01  1.7950E+00  2.9500E-01
 5.6382E-01  1.7980E+00  2.6400E-01
 6.1500E-01  1.7940E+00  2.4000E-01
 6.7091E-01  1.7900E+00  2.2400E-01
 7.3191E-01  1.7860E+00  2.1200E-01
 7.9836E-01  1.7810E+00  2.0300E-01
 8.7068E-01  1.7790E+00  2.0000E-01
 9.5008E-01  1.7800E+00  1.9800E-01
 1.0367E+00  1.7790E+00  1.9500E-01
 1.1302E+00  1.7780E+00  1.9500E-01
 1.2337E+00  1.7780E+00  1.9800E-01
 1.3452E+00  1.7780E+00  2.0200E-01
 1.4673E+00  1.7790E+00  2.0800E-01
 1.6006E+00  1.7790E+00  2.1400E-01
 1.7460E+00  1.7820E+00  2.2400E-01
 1.9045E+00  1.7830E+00  2.3500E-01
 2.0775E+00  1.7880E+00  2.4400E-01
 2.2662E+00  1.7920E+00  2.5700E-01
 2.4723E+00  1.7930E+00  2.7000E-01
 2.6965E+00  1.7930E+00  2.8700E-01
 2.9415E+00  1.7990E+00  3.0900E-01
 3.2087E+00  1.8030E+00  3.2800E-01
 3.5004E+00  1.8160E+00  3.5600E-01
 3.8184E+00  1.8200E+00  3.7400E-01
 4.1648E+00  1.8280E+00  3.9900E-01
 4.5432E+00  1.8310E+00  4.3000E-01
 4.9554E+00  1.8420E+00  4.5700E-01
 5.4071E+00  1.8420E+00  4.8400E-01
 5.8984E+00  1.8570E+00  5.5900E-01
 6.4341E+00  1.8890E+00  5.7500E-01
 7.0167E+00  1.8850E+00  6.2100E-01
 7.6534E+00  1.9010E+00  6.7100E-01
 8.3492E+00  1.9310E+00  7.2900E-01
 9.1098E+00  1.9640E+00  7.6900E-01
 9.9347E+00  1.9970E+00  8.1400E-01
 1.0838E+01  2.0130E+00  8.5400E-01
 1.1819E+01  2.0380E+00  9.2100E-01
 1.2896E+01  2.0590E+00  9.7200E-01
 1.4068E+01  2.0930E+00  1.0350E+00
 1.5347E+01  2.1150E+00  1.1110E+00
 1.6739E+01  2.1560E+00  1.1720E+00
 1.8260E+01  2.1770E+00  1.2470E+00
 1.9920E+01  2.1970E+00  1.3190E+00
 2.1729E+01  2.2170E+00  1.4250E+00
 2.3702E+01  2.2530E+00  1.5320E+00
 2.5857E+01  2.2800E+00  1.6340E+00
 2.8204E+01  2.3150E+00  1.7750E+00
 3.0766E+01  2.3580E+00  1.9220E+00
 3.3564E+01  2.4450E+00  2.0610E+00
 3.6606E+01  2.5010E+00  2.2030E+00
 3.9931E+01  2.5680E+00  2.3330E+00
 4.3565E+01  2.6110E+00  2.5330E+00
 4.7522E+01  2.7020E+00  2.7380E+00
 5.1833E+01  2.7970E+00  2.9230E+00
 5.6537E+01  2.8750E+00  3.1480E+00
 6.1684E+01  2.9800E+00  3.3920E+00
 6.7273E+01  3.1080E+00  3.6460E+00
 7.3407E+01  3.2830E+00  3.9600E+00
 8.0042E+01  3.5880E+00  4.1550E+00
 8.7313E+01  3.6290E+00  4.5460E+00
 9.5227E+01  3.9850E+00  4.9160E+00
 1.0393E+02  4.2990E+00  5.1560E+00
 1.1333E+02  4.6120E+00  5.4500E+00
 1.2361E+02  4.8880E+00  5.7940E+00
 1.3488E+02  5.2790E+00  6.1050E+00
 1.4713E+02  5.7110E+00  6.3090E+00
 1.6050E+02  6.2320E+00  6.7070E+00
 1.7507E+02  6.7730E+00  6.9490E+00
 1.9098E+02  7.4280E+00  7.0660E+00
 2.0831E+02  7.9210E+00  7.2080E+00
 2.2725E+02  8.5060E+00  7.3040E+00
 2.4787E+02  8.9970E+00  7.2840E+00
 2.7041E+02  9.5580E+00  7.3280E+00
 2.9499E+02  1.0078E+01  7.4090E+00
 3.2179E+02  1.0732E+01  7.4830E+00
 3.5103E+02  1.1398E+01  7.2570E+00
 3.8291E+02  1.1612E+01  7.1840E+00
 4.1760E+02  1.2273E+01  7.2100E+00
 4.5566E+02  1.2847E+01  7.0450E+00
 4.9693E+02  1.3335E+01  6.8120E+00
 5.4213E+02  1.3727E+01  6.5730E+00
 5.9125E+02  1.4042E+01  6.3750E+00
 6.4508E+02  1.4326E+01  6.2600E+00
 7.0366E+02  1.4680E+01  6.2160E+00
 7.6771E+02  1.5117E+01  6.0970E+00
 8.3717E+02  1.5486E+01  5.8790E+00
 9.1300E+02  1.5748E+01  5.6710E+00
