# refractive index for amorphpus carbon BE
# from Zubko et al., mnras, 1996, 282, 1321-1329
    w(um)        n           k
 5.3907E-02  9.2100E-01  1.1900E-01
 5.8816E-02  9.2200E-01  1.6000E-01
 6.4141E-02  9.3000E-01  1.9100E-01
 6.9969E-02  9.3600E-01  2.1800E-01
 7.6345E-02  9.4300E-01  2.4700E-01
 8.3267E-02  9.5300E-01  2.7900E-01
 9.0832E-02  9.6600E-01  3.1200E-01
 9.9109E-02  9.8500E-01  3.4600E-01
 1.0810E-01  1.0120E+00  3.7900E-01
 1.1786E-01  1.0430E+00  4.0000E-01
 1.2862E-01  1.0740E+00  4.2000E-01
 1.4030E-01  1.1030E+00  4.2300E-01
 1.5305E-01  1.1350E+00  4.1300E-01
 1.6694E-01  1.0970E+00  3.8600E-01
 1.8212E-01  1.0470E+00  4.2400E-01
 1.9866E-01  1.0110E+00  5.0600E-01
 2.1668E-01  1.0210E+00  5.9600E-01
 2.3639E-01  1.0410E+00  6.7900E-01
 2.5787E-01  1.0800E+00  7.7800E-01
 2.8127E-01  1.1460E+00  8.6200E-01
 3.0682E-01  1.2210E+00  9.3500E-01
 3.3464E-01  1.3010E+00  9.9400E-01
 3.6509E-01  1.3830E+00  1.0460E+00
 3.9828E-01  1.4660E+00  1.0930E+00
 4.3443E-01  1.5520E+00  1.1390E+00
 4.7395E-01  1.6470E+00  1.1810E+00
 5.1704E-01  1.7490E+00  1.2130E+00
 5.6382E-01  1.8520E+00  1.2320E+00
 6.1500E-01  1.9520E+00  1.2420E+00
 6.7091E-01  2.0490E+00  1.2480E+00
 7.3191E-01  2.1460E+00  1.2490E+00
 7.9836E-01  2.2460E+00  1.2410E+00
 8.7068E-01  2.3350E+00  1.2160E+00
 9.5008E-01  2.4060E+00  1.1950E+00
 1.0367E+00  2.4770E+00  1.1810E+00
 1.1302E+00  2.5450E+00  1.1660E+00
 1.2337E+00  2.6120E+00  1.1520E+00
 1.3452E+00  2.6770E+00  1.1320E+00
 1.4673E+00  2.7280E+00  1.1170E+00
 1.6006E+00  2.7850E+00  1.1090E+00
 1.7460E+00  2.8400E+00  1.0970E+00
 1.9045E+00  2.8910E+00  1.0930E+00
 2.0775E+00  2.9450E+00  1.0840E+00
 2.2662E+00  2.9920E+00  1.0770E+00
 2.4723E+00  3.0400E+00  1.0750E+00
 2.6965E+00  3.0760E+00  1.0750E+00
 2.9415E+00  3.1230E+00  1.0810E+00
 3.2087E+00  3.1680E+00  1.1000E+00
 3.5004E+00  3.2160E+00  1.1060E+00
 3.8184E+00  3.2680E+00  1.1220E+00
 4.1648E+00  3.3250E+00  1.1230E+00
 4.5432E+00  3.3660E+00  1.1420E+00
 4.9554E+00  3.4180E+00  1.1480E+00
 5.4071E+00  3.4430E+00  1.1440E+00
 5.8984E+00  3.4250E+00  1.1780E+00
 6.4341E+00  3.4680E+00  1.2780E+00
 7.0167E+00  3.5090E+00  1.3390E+00
 7.6534E+00  3.5990E+00  1.4530E+00
 8.3492E+00  3.7230E+00  1.5190E+00
 9.1098E+00  3.8570E+00  1.5550E+00
 9.9347E+00  3.9710E+00  1.5340E+00
 1.0838E+01  4.0080E+00  1.5350E+00
 1.1819E+01  4.0840E+00  1.5930E+00
 1.2896E+01  4.1290E+00  1.6490E+00
 1.4068E+01  4.2630E+00  1.6770E+00
 1.5347E+01  4.3480E+00  1.7120E+00
 1.6739E+01  4.4270E+00  1.7530E+00
 1.8260E+01  4.5270E+00  1.8120E+00
 1.9920E+01  4.6010E+00  1.8290E+00
 2.1729E+01  4.7020E+00  1.9000E+00
 2.3702E+01  4.8020E+00  1.9630E+00
 2.5857E+01  4.9120E+00  2.0090E+00
 2.8204E+01  5.0300E+00  2.0570E+00
 3.0766E+01  5.1600E+00  2.1080E+00
 3.3564E+01  5.2740E+00  2.1300E+00
 3.6606E+01  5.3820E+00  2.1760E+00
 3.9931E+01  5.4910E+00  2.2130E+00
 4.3565E+01  5.5930E+00  2.2600E+00
 4.7522E+01  5.7040E+00  2.3110E+00
 5.1833E+01  5.8090E+00  2.3660E+00
 5.6537E+01  5.9120E+00  2.4310E+00
 6.1684E+01  6.0190E+00  2.5000E+00
 6.7273E+01  6.1620E+00  2.5950E+00
 7.3407E+01  6.2880E+00  2.6760E+00
 8.0042E+01  6.4490E+00  2.7540E+00
 8.7313E+01  6.5970E+00  2.8380E+00
 9.5227E+01  6.7580E+00  2.8980E+00
 1.0393E+02  6.9170E+00  2.9900E+00
 1.1333E+02  7.0800E+00  3.0570E+00
 1.2361E+02  7.2000E+00  3.1510E+00
 1.3488E+02  7.4370E+00  3.2110E+00
 1.4713E+02  7.6110E+00  3.3020E+00
 1.6050E+02  7.8130E+00  3.3950E+00
 1.7507E+02  8.0260E+00  3.4440E+00
 1.9098E+02  8.2270E+00  3.5550E+00
 2.0831E+02  8.4530E+00  3.5930E+00
 2.2725E+02  8.6550E+00  3.6400E+00
 2.4787E+02  8.8630E+00  3.7110E+00
 2.7041E+02  9.0740E+00  3.7480E+00
 2.9499E+02  9.2820E+00  3.8070E+00
 3.2179E+02  9.4860E+00  3.8910E+00
 3.5103E+02  9.7550E+00  3.9420E+00
 3.8291E+02  9.9870E+00  3.9030E+00
 4.1760E+02  1.0117E+01  4.0040E+00
 4.5566E+02  1.0350E+01  4.1230E+00
 4.9693E+02  1.0632E+01  4.1850E+00
 5.4213E+02  1.0882E+01  4.2090E+00
 5.9125E+02  1.1101E+01  4.2440E+00
 6.4508E+02  1.1315E+01  4.3050E+00
 7.0366E+02  1.1547E+01  4.3900E+00
 7.6771E+02  1.1812E+01  4.4770E+00
 8.3717E+02  1.2103E+01  4.5430E+00
 9.1300E+02  1.2394E+01  4.5760E+00
 9.9666E+02  1.2664E+01  4.5960E+00
 1.0866E+03  1.2922E+01  4.6250E+00
 1.1853E+03  1.3183E+01  4.6620E+00
 1.2931E+03  1.3450E+01  4.6990E+00
 1.4107E+03  1.3730E+01  4.7320E+00
 1.5388E+03  1.4025E+01  4.7260E+00
 1.6786E+03  1.4187E+01  4.6750E+00
 1.8311E+03  1.4377E+01  4.8570E+00
 1.9972E+03  1.4735E+01  4.9400E+00
